,time,close,open,hight,low,volumes
0,1195084800,6.772,6.932,6.932,5.812,1306330
1,1195171200,6.453,6.453,6.453,6.453,248510
2,1195430400,6.132,6.132,6.132,6.132,120480
3,1195516800,5.866,5.866,5.866,5.866,58710
4,1195603200,6.08,5.599,6.08,5.599,728080
5,1195689600,6.08,6.08,6.08,5.866,266040
6,1195776000,5.866,5.919,6.078,5.866,106370
7,1196035200,5.812,5.76,5.866,5.705,135430
8,1196121600,5.599,5.76,5.76,5.599,262120
9,1196208000,5.705,5.653,5.705,5.653,131020
10,1196294400,5.705,5.705,5.76,5.653,128110
11,1196380800,5.653,5.653,5.653,5.599,114720
12,1196640000,5.653,5.705,5.705,5.653,68710
13,1196726400,5.599,5.599,5.653,5.599,125040
14,1196812800,5.546,5.493,5.599,5.493,112160
15,1196899200,5.599,5.705,5.705,5.546,76580
16,1196985600,5.439,5.492,5.599,5.439,133400
17,1197244800,5.199,5.333,5.385,5.199,156420
18,1197331200,4.96,5.039,5.147,4.96,184520
19,1197417600,5.012,4.719,5.172,4.719,307780
20,1197504000,4.826,5.012,5.012,4.799,130410
21,1197590400,4.853,4.799,4.878,4.799,81260
22,1197849600,4.799,4.853,4.88,4.799,87220
23,1197936000,4.932,4.799,4.932,4.772,104160
24,1198022400,5.173,5.066,5.173,5.012,217360
25,1198108800,5.012,5.172,5.199,4.985,105030
26,1198195200,5.012,4.932,5.119,4.932,114130
27,1198454400,5.066,5.092,5.092,5.012,166920
28,1198540800,5.012,5.065,5.092,5.012,109460
29,1198627200,5.012,4.853,5.012,4.853,157680
30,1198713600,5.012,5.012,5.065,5.012,86100
31,1198800000,5.066,5.012,5.066,5.012,81580
32,1199232000,5.092,5.065,5.119,5.065,174750
