,time,close,open,hight,low,volumes
0,1237766400,5.132,5.132,5.132,5.132,35010
1,1237852800,5.379,5.379,5.379,5.379,380
2,1237939200,5.628,5.628,5.628,5.628,2200
3,1238025600,5.908,5.908,5.908,5.908,3760
4,1238112000,6.191,6.191,6.191,6.133,510350
5,1238371200,5.908,6.191,6.301,5.908,387970
6,1238457600,5.615,5.615,5.682,5.615,158450
7,1238544000,5.851,5.615,5.851,5.491,212000
8,1238630400,5.851,5.908,5.963,5.628,108910
9,1238716800,5.738,5.851,5.908,5.682,246100
10,1239062400,5.738,5.515,5.794,5.515,239340
11,1239148800,5.604,5.524,5.682,5.515,152970
12,1239235200,5.515,5.628,5.628,5.515,85760
13,1239321600,5.738,5.738,5.738,5.569,157130
14,1239580800,6.019,6.019,6.019,6.019,138680
15,1239667200,5.908,5.851,6.019,5.794,115190
16,1239753600,5.628,5.628,5.738,5.615,78290
17,1239840000,5.682,5.794,5.794,5.628,96830
18,1239926400,5.515,5.628,5.628,5.4,76480
19,1240185600,5.628,5.515,5.738,5.515,235860
20,1240272000,5.908,5.908,5.908,5.794,353670
21,1240358400,6.133,6.191,6.191,6.019,276150
22,1240444800,5.851,5.963,6.076,5.851,75150
23,1240531200,5.682,5.628,5.794,5.569,169850
24,1240790400,5.628,5.682,5.738,5.582,100970
25,1240876800,5.682,5.536,5.682,5.536,105180
26,1240963200,5.604,5.628,5.682,5.604,108840
27,1241395200,5.851,5.851,5.851,5.851,107180
28,1241481600,6.019,6.133,6.133,6.019,424560
29,1241568000,5.738,5.631,5.738,5.472,112930
30,1241654400,6.142,6.083,6.142,5.966,88860
31,1241740800,5.908,5.682,6.019,5.682,148470
32,1242000000,5.851,5.851,5.908,5.851,164050
33,1242086400,5.908,5.794,5.908,5.738,131070
34,1242172800,6.159,6.158,6.219,6.1,125860
35,1242259200,5.794,5.738,5.851,5.738,85580
36,1242345600,5.851,5.908,5.908,5.794,128400
37,1242604800,5.851,5.851,5.851,5.794,73730
38,1242691200,5.794,5.851,5.908,5.738,194140
39,1242777600,5.963,5.794,5.963,5.794,140070
40,1242864000,5.908,5.963,6.019,5.851,220690
41,1242950400,6.191,5.908,6.191,5.794,428050
42,1243209600,6.468,6.468,6.468,6.468,135370
43,1243296000,6.749,6.749,6.749,6.749,41150
44,1243382400,7.09,7.09,7.09,7.09,26130
45,1243468800,7.427,7.427,7.427,7.427,29810
46,1243555200,7.763,7.763,7.763,7.313,844820
47,1243814400,8.103,8.103,8.103,8.103,126810
48,1243900800,8.494,8.494,8.494,8.494,57990
49,1243987200,8.889,8.889,8.889,8.834,582590
50,1244073600,9.17,9.17,9.224,8.889,634040
51,1244160000,9.338,9.398,9.452,9.224,403030
52,1244419200,9.789,9.452,9.789,9.398,397240
53,1244505600,10.183,9.338,10.237,9.338,621990
54,1244592000,9.678,9.734,9.957,9.678,398390
55,1244678400,9.678,9.565,9.789,9.507,475310
56,1244764800,9.452,9.789,9.789,9.224,381890
57,1245024000,9.057,9.452,9.452,9.001,312180
58,1245110400,8.607,8.607,8.775,8.607,212600
59,1245196800,8.385,8.27,8.439,8.211,318500
60,1245283200,8.775,8.775,8.775,8.552,530960
61,1245369600,9.17,9.17,9.17,8.889,427710
62,1245628800,8.72,8.889,8.944,8.72,174050
63,1245715200,8.326,8.326,8.439,8.326,269310
64,1245801600,8.72,8.72,8.72,8.552,132820
65,1245888000,8.326,8.72,8.72,8.326,245730
66,1245974400,8.439,8.211,8.494,8.211,113740
67,1246233600,8.211,8.27,8.439,8.211,184200
68,1246320000,7.821,8.103,8.157,7.821,207480
69,1246406400,7.539,7.48,7.595,7.48,285800
70,1246492800,7.763,7.653,7.876,7.539,85950
71,1246579200,7.763,7.653,7.876,7.653,74580
72,1246838400,8.103,7.876,8.103,7.876,133640
73,1246924800,7.876,8.103,8.157,7.876,98020
74,1247011200,7.989,7.876,8.045,7.876,86720
75,1247097600,8.157,8.157,8.157,7.989,137050
76,1247184000,8.157,8.157,8.211,8.045,151680
77,1247443200,8.103,8.27,8.27,8.103,61030
78,1247529600,7.989,8.045,8.103,7.934,135370
79,1247616000,8.103,7.934,8.103,7.934,78400
80,1247702400,8.103,8.211,8.27,8.045,91570
81,1247788800,8.103,8.103,8.157,8.103,75130
82,1248048000,8.157,8.045,8.157,8.045,135350
83,1248134400,8.211,8.157,8.27,8.157,63540
84,1248220800,8.211,8.27,8.27,8.157,56270
85,1248307200,8.439,8.157,8.439,8.157,89260
86,1248393600,8.834,8.834,8.834,8.834,325150
87,1248652800,8.834,8.834,9.057,8.775,146680
88,1248739200,8.439,8.665,8.775,8.439,102710
89,1248825600,8.385,8.552,8.552,8.385,48970
90,1248912000,8.385,8.326,8.552,8.27,129810
91,1248998400,8.607,8.494,8.607,8.439,111990
92,1249257600,8.607,8.552,8.665,8.552,62580
93,1249344000,8.944,8.889,8.944,8.775,207250
94,1249430400,9.338,9.057,9.338,8.944,562120
95,1249516800,9.224,9.338,9.507,9.114,216600
96,1249603200,9.057,9.114,9.17,9.057,163590
97,1249862400,9.452,9.283,9.452,9.057,411250
98,1249948800,9.507,9.398,9.507,9.398,276460
99,1250035200,9.338,9.507,9.507,9.224,157540
100,1250121600,9.338,9.452,9.507,9.338,210190
101,1250208000,9.619,9.452,9.734,9.398,330440
102,1250467200,9.619,9.678,9.847,9.565,262410
103,1250553600,9.678,9.619,9.678,9.565,229640
104,1250640000,10.128,9.847,10.128,9.789,421610
105,1250726400,10.128,10.35,10.35,10.015,236360
106,1250812800,10.237,10.632,10.632,10.237,621250
107,1251072000,10.069,10.128,10.237,9.901,357970
108,1251158400,9.789,10.015,10.015,9.789,296770
109,1251244800,9.847,9.901,9.901,9.789,186420
110,1251331200,9.847,9.847,9.901,9.678,289660
111,1251417600,10.276,10.276,10.276,10.276,70240
112,1251676800,10.727,10.727,10.727,10.652,560470
113,1251763200,10.875,10.652,11.027,10.652,435140
114,1251936000,10.652,10.802,10.802,10.652,323780
115,1252022400,10.35,10.727,10.727,10.203,245580
116,1252281600,9.975,10.35,10.35,9.901,200200
117,1252368000,10.426,10.203,10.426,10.128,208740
118,1252454400,10.578,10.727,10.727,10.5,479630
119,1252540800,10.652,10.426,10.652,10.426,237410
120,1252627200,10.5,10.652,10.652,10.5,238480
121,1252886400,10.35,10.35,10.5,10.35,168520
122,1252972800,10.276,10.35,10.426,10.203,199490
123,1253059200,10.203,10.276,10.276,10.128,213980
124,1253145600,10.203,10.35,10.35,10.128,191360
125,1253232000,10.203,10.203,10.276,10.128,92940
126,1253491200,10.128,10.051,10.203,10.051,108100
127,1253577600,10.051,9.975,10.128,9.975,130170
128,1253664000,10.128,10.051,10.504,10.051,256490
129,1253750400,9.901,10.051,10.128,9.827,199830
130,1253836800,10.051,9.901,10.051,9.901,128850
131,1254096000,9.975,10.051,10.128,9.975,185970
132,1254182400,9.827,9.975,10.051,9.827,90380
133,1254268800,9.901,9.827,9.975,9.753,78260
134,1254355200,9.827,9.901,10.051,9.827,126530
135,1254441600,9.674,9.527,9.753,9.452,161910
136,1254700800,9.527,9.674,9.674,9.527,49640
137,1254787200,9.527,9.076,9.674,9.076,81900
138,1254873600,9.975,9.601,9.975,9.601,152080
139,1254960000,10.426,10.051,10.426,9.975,505260
140,1255046400,10.727,10.875,10.875,10.652,598730
141,1255305600,10.578,10.652,10.727,10.35,298380
142,1255392000,10.203,10.35,10.35,10.203,238730
143,1255478400,10.652,10.504,10.652,10.35,366870
144,1255564800,10.954,11.178,11.178,10.727,489940
145,1255651200,10.5,10.802,10.875,10.5,336030
146,1255910400,10.802,10.504,10.802,10.35,360640
147,1255996800,10.578,10.727,10.802,10.5,262040
148,1256083200,10.5,10.35,10.652,10.35,262450
