,time,close,open,hight,low,volumes
0,1483401600,56.488,56.235,56.595,55.875,127640
1,1483488000,56.704,56.488,56.884,56.271,75090
2,1483574400,56.884,56.704,56.884,56.595,116930
3,1483660800,56.884,56.848,57.279,56.595,210050
4,1483920000,56.488,56.956,56.956,56.415,126740
5,1484006400,56.667,56.307,57.1,55.911,180070
6,1484092800,57.678,56.775,57.678,56.775,348450
7,1484179200,57.678,57.678,58.543,57.678,205680
8,1484265600,57.497,57.678,57.786,57.353,84390
9,1484524800,57.136,57.317,57.678,57.136,83590
10,1484611200,56.956,56.956,57.136,56.775,106820
11,1484697600,56.956,56.992,57.172,56.956,82110
12,1484784000,56.775,57.317,57.317,56.775,37760
13,1484870400,57.497,56.632,57.678,56.632,74860
14,1485129600,57.064,57.64,57.64,56.775,62600
15,1485216000,57.317,57.064,57.317,56.956,120870
16,1485302400,57.678,57.317,57.678,57.136,82160
17,1485993600,60.922,58.037,60.922,57.713,422570
18,1486080000,60.561,60.922,61.607,60.236,122970
19,1486339200,61.462,60.561,61.607,60.057,249400
20,1486425600,61.426,61.282,61.607,61.103,200400
21,1486512000,60.85,61.282,61.426,60.2,204010
22,1486598400,60.2,60.85,60.885,59.588,249940
23,1486684800,60.669,60.2,61.103,60.2,131350
24,1486944000,62.436,60.922,62.687,60.922,399340
25,1487030400,62.002,62.652,62.687,62.002,113620
26,1487116800,62.363,62.002,62.652,61.642,112270
27,1487203200,62.363,62.255,64.167,62.255,224120
28,1487289600,62.002,62.363,63.264,61.534,438000
29,1487548800,60.561,62.002,62.002,60.561,213330
30,1487635200,60.742,60.561,61.282,60.561,114080
31,1487721600,59.876,60.922,61.103,59.66,203790
32,1487808000,59.588,59.876,60.2,58.938,242260
33,1487894400,59.84,58.794,59.84,58.398,189820
34,1488153600,60.777,61.065,62.363,60.561,338060
35,1488240000,60.236,60.561,60.922,60.236,115880
36,1488326400,60.02,60.2,60.2,59.805,104490
37,1488412800,60.2,59.876,60.922,59.84,100290
38,1488499200,59.948,60.2,60.273,59.84,106870
39,1488758400,59.948,60.2,60.381,59.84,95580
40,1488844800,60.524,59.948,60.669,59.48,116510
41,1488931200,61.21,60.885,62.148,60.561,278100
42,1489017600,60.922,61.21,61.282,60.814,41170
43,1489104000,60.922,60.922,61.21,60.777,54480
44,1489363200,61.21,61.462,61.931,61.103,223660
45,1489449600,62.002,61.282,62.002,61.282,242660
46,1489536000,62.724,62.724,63.048,62.219,357810
47,1489622400,61.642,63.625,63.698,61.462,349140
48,1489708800,61.895,61.642,62.148,60.922,236840
49,1489968000,61.931,62.363,62.363,61.679,91340
50,1490054400,62.148,61.858,62.291,61.858,141970
51,1490140800,60.993,61.895,62.002,60.922,254390
52,1490227200,60.742,60.993,61.246,60.489,175150
53,1490313600,60.814,61.103,61.21,60.742,105010
54,1490572800,59.84,60.814,61.282,59.768,356790
55,1490659200,59.84,59.84,60.489,59.48,131620
56,1490745600,60.381,59.84,60.634,59.299,309790
57,1490832000,60.742,59.912,60.814,59.912,142470
58,1490918400,60.669,60.236,61.029,60.236,62910
59,1491177600,60.381,60.922,60.922,60.057,155160
60,1491264000,60.02,60.381,60.381,59.876,98080
61,1491350400,60.2,60.02,60.345,60.02,57020
62,1491523200,60.2,60.2,60.309,59.84,54260
63,1491782400,59.876,60.2,60.2,59.84,69450
64,1491868800,60.777,59.912,60.777,59.912,88220
65,1491955200,60.922,60.669,61.607,60.596,160680
66,1492041600,61.282,61.103,61.534,61.103,86350
67,1492128000,60.273,61.282,61.318,60.273,126310
68,1492387200,59.48,60.2,60.561,59.48,206180
69,1492473600,58.758,59.48,59.48,58.109,177340
70,1492560000,60.2,58.758,60.2,58.758,98260
71,1492646400,59.84,60.2,60.2,59.84,40210
72,1492732800,60.02,59.84,60.345,59.84,55150
73,1492992000,59.84,60.165,60.561,59.84,150250
74,1493078400,58.938,59.516,59.84,58.651,73220
75,1493164800,59.155,58.938,59.948,58.938,145010
76,1493251200,60.128,59.48,60.165,59.155,76780
77,1493337600,60.2,60.165,60.2,59.84,102600
78,1493769600,60.777,59.84,61.103,59.84,73610
79,1493856000,61.931,60.922,62.002,60.922,225890
80,1493942400,62.002,62.002,62.363,61.642,142540
81,1494201600,61.607,62.002,62.111,61.246,67420
82,1494288000,62.183,61.318,62.183,61.318,199170
83,1494374400,62.219,62.724,63.12,62.219,260390
84,1494460800,62.363,62.363,62.904,62.002,121850
85,1494547200,62.724,62.544,62.795,62.002,183350
86,1494806400,66.112,62.868,66.328,62.868,448540
87,1494892800,65.139,66.149,66.149,64.923,261360
88,1494979200,64.886,65.247,65.824,64.418,185390
89,1495065600,64.995,64.886,65.608,64.526,201390
90,1495152000,65.427,65.066,65.5,64.995,303350
91,1495411200,66.299,69.062,69.062,66.154,695190
92,1495497600,68.699,66.517,69.062,66.299,418500
93,1495584000,71.897,69.062,73.497,69.062,844050
94,1495670400,71.461,71.97,73.424,71.171,419610
95,1495756800,70.516,70.88,71.243,70.371,244610
96,1496016000,68.48,70.516,71.098,68.48,399320
97,1496102400,67.827,67.972,68.699,67.245,358640
98,1496188800,67.972,67.463,69.426,67.463,185320
99,1496275200,69.644,67.972,69.644,67.972,215340
100,1496361600,69.426,70.516,70.516,68.917,124580
101,1496620800,69.062,69.062,69.571,68.627,146690
102,1496707200,69.934,69.062,70.152,68.699,258430
103,1496793600,70.516,69.934,70.662,69.426,359430
104,1496880000,71.243,70.88,71.606,70.371,290590
105,1496966400,70.734,71.243,71.752,70.516,139610
106,1497225600,70.152,70.734,71.024,70.007,120460
107,1497312000,69.062,69.789,70.298,68.917,228320
108,1497398400,69.426,69.062,69.426,68.699,215100
109,1497484800,69.571,69.426,70.007,69.353,166790
110,1497571200,69.208,69.789,69.789,69.062,176730
111,1497830400,69.135,69.062,69.353,68.917,171770
112,1497916800,70.516,69.208,71.243,69.135,420950
113,1498003200,71.024,70.88,71.171,70.225,314390
114,1498089600,73.424,71.024,73.424,71.024,398150
115,1498176000,74.805,74.878,76.622,73.57,596460
116,1498435200,74.878,75.604,75.604,74.078,321990
117,1498521600,73.642,74.878,74.878,73.424,272110
118,1498608000,73.06,72.697,73.424,71.97,1111060
119,1498694400,73.424,73.06,74.151,72.77,404540
120,1498780800,74.805,74.078,75.604,74.006,519720
121,1499040000,74.733,74.805,75.823,74.514,554410
122,1499126400,75.242,74.369,75.968,74.296,333370
123,1499212800,74.66,75.242,75.604,74.66,247230
124,1499299200,74.66,74.66,74.878,74.151,357610
125,1499385600,74.878,74.587,75.168,74.587,352070
126,1499644800,73.788,74.878,74.878,72.697,317010
127,1499731200,73.788,73.788,74.151,73.06,282370
128,1499817600,74.514,73.788,74.587,73.424,201330
129,1499904000,74.587,74.805,74.805,73.861,162470
130,1499990400,74.151,74.514,74.587,74.151,150230
131,1500249600,75.024,74.151,76.259,74.151,566470
132,1500336000,74.296,74.514,74.733,73.788,156360
133,1500422400,74.224,74.296,74.442,73.788,195430
134,1500508800,73.06,74.151,74.151,72.697,421830
135,1500595200,70.516,73.06,73.424,70.152,744800
136,1500854400,70.953,70.516,71.752,70.516,334540
137,1500940800,71.679,71.243,71.825,71.098,219850
138,1501027200,72.697,71.679,73.424,71.679,218910
